query	grouping_confidence	location_confidence	orientation_confidence
NODE_53_length_1461_cov_243.607397_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_44_length_6110_cov_131.970273_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_34_length_35139_cov_131.988770_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_605_length_228_cov_135.502890_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_871_length_179_cov_149.500000_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_45_length_4830_cov_156.974869_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_2_length_245239_cov_129.518819_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_23_length_82183_cov_135.067212_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_90_length_467_cov_131.351942_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_51_length_1649_cov_136.154956_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_73_length_616_cov_257.335116_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_8_length_188015_cov_132.231033_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_11_length_150954_cov_132.636426_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_13_length_136672_cov_131.243689_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_26_length_71952_cov_133.209299_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_9_length_182590_cov_130.026669_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_83_length_488_cov_134.371824_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_873_length_173_cov_135.211864_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_58_length_1070_cov_123.313300_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_67_length_780_cov_187.266207_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_70_length_713_cov_125.284195_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_19_length_98740_cov_132.151067_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_56_length_1295_cov_130.143548_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_3_length_226620_cov_132.558643_pilon_pilon_pilon_pilon	1.0	0.07991328312061684	1.0
NODE_36_length_18089_cov_132.793168_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_50_length_1658_cov_212.685590_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_47_length_3132_cov_122.924602_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_39_length_16503_cov_128.124514_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_119_length_325_cov_157.303704_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_151_length_277_cov_137.490991_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_22_length_85918_cov_129.803559_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_43_length_6802_cov_130.418556_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_32_length_36444_cov_129.922861_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_37_length_17587_cov_131.199806_pilon_pilon_pilon_pilon	1.0	0.008947110638764603	0.5083223249669749
NODE_121_length_316_cov_135.444444_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_112_length_338_cov_148.095406_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_33_length_35846_cov_128.471795_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_41_length_11180_cov_122.061663_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_134_length_290_cov_119.182979_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1_length_301225_cov_133.087346_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_28_length_64161_cov_132.993698_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_574_length_231_cov_1.011364_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_541_length_235_cov_1.000000_pilon_pilon_pilon_pilon	1.0	1.0	1.0
